route,basin,lengthClass,date,season,year,distKm,speedMps,geoFuelKg,gcFuelKg,calmPathRealFuelKg,realFuelKg,benefitKg,benefitPct,meshFuelKg,meshGainPct,currentEffectPct,wps,fetchS,routeS,status,speedOptFuelKg,speedOptDurationH,speedOptMeanMps,meshSpeedOptFuelKg,meshSpeedOptDurationH,meshSpeedOptMeanMps,calmSpeedOptFuelKg,awareSpeedOptFuelKg,etaSlack,speedSet,speedOptCostUSD,meshSpeedOptCostUSD,calmSpeedOptCostUSD,awareSpeedOptCostUSD
Antwerpen->Zeebrugge,NorthSea,coastal,2022-01-15,DJF,2022,84.6,6.0,NA,2917.2,NA,NA,NA,NA,NA,NA,NA,NA,0.1,50.2,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-04-15,MAM,2022,84.6,6.0,NA,2849.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,48.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-07-15,JJA,2022,84.6,6.0,NA,2982.2,NA,NA,NA,NA,NA,NA,NA,NA,0.1,48.0,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2022-10-15,SON,2022,84.6,6.0,NA,3134.7,NA,NA,NA,NA,NA,NA,NA,NA,0.1,49.5,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-01-15,DJF,2023,84.6,6.0,NA,6296.3,NA,NA,NA,NA,NA,NA,NA,NA,0.1,49.6,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-04-15,MAM,2023,84.6,6.0,NA,2897.8,NA,NA,NA,NA,NA,NA,NA,NA,0.1,47.5,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-07-15,JJA,2023,84.6,6.0,NA,3522.6,NA,NA,NA,NA,NA,NA,NA,NA,0.1,50.3,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Antwerpen->Zeebrugge,NorthSea,coastal,2023-10-15,SON,2023,84.6,6.0,NA,4990.5,NA,NA,NA,NA,NA,NA,NA,NA,0.1,49.7,route_invalid,NA,NA,NA,NA,NA,NA,NA,NA,0.050,5.0|5.5|6.0|6.5|7.0,NA,NA,NA,NA
Santos->Paranagua,SAtlantic,coastal,2022-01-15,DJF,2022,280.4,6.0,NA,NA,14194.3,NA,NA,NA,14194.3,NA,NA,17,0.2,74.3,ok,NA,NA,NA,13291.0,15.886,5.770,13064.3,13291.0,0.050,5.0|5.5|6.0|6.5|7.0,NA,6844.89,6728.14,6844.89
Santos->Paranagua,SAtlantic,coastal,2022-04-15,MAM,2022,280.4,6.0,NA,NA,26590.2,NA,NA,NA,26590.2,NA,NA,17,0.2,70.0,ok,NA,NA,NA,25441.3,15.848,5.784,25091.5,25441.3,0.050,5.0|5.5|6.0|6.5|7.0,NA,13102.28,12922.14,13102.28
Santos->Paranagua,SAtlantic,coastal,2022-07-15,JJA,2022,280.4,6.0,NA,NA,15563.9,NA,NA,NA,15563.9,NA,NA,17,0.1,72.3,ok,NA,NA,NA,14721.1,15.886,5.770,14524.0,14721.1,0.050,5.0|5.5|6.0|6.5|7.0,NA,7581.36,7479.88,7581.36
Santos->Paranagua,SAtlantic,coastal,2022-10-15,SON,2022,280.4,6.0,NA,NA,17990.0,NA,NA,NA,17990.0,NA,NA,17,0.2,68.5,ok,NA,NA,NA,17103.3,15.886,5.770,16900.9,17103.3,0.050,5.0|5.5|6.0|6.5|7.0,NA,8808.18,8703.98,8808.18
